symbol,previousClose,change,pChange,yearHigh,yearLow,iep,purpose,marketCap
BPCL,472.2,12.800000000000011,2.710715798390515,488,312.75,485, INTERIM DIVIDEND - RS 5 PER SHARE,436400505400.57
MOTHERSUMI,233.95,2.0500000000000114,0.8762556101731189,248.65,83.4,236, ANNUAL GENERAL MEETING,279723498844.99
RBLBANK,207.85,1.700000000000017,0.8178975222516319,274.3,110.05,209.55, ANNUAL GENERAL MEETING,94657300201.8
SIEMENS,1995.2,14.799999999999955,0.7417802726543682,2143.5,1010.5,2010, DIVIDEND - RS 7 PER SHARE,181950741285.88
GODREJPROP,1348.55,10,0.7415372066293426,1572.25,601,1358.55,ANNUAL GENERAL MEETING/DIVIDEND -  RS 2/- PER SHARE,158953685265.54
CANBK,149.55,1.0999999999999943,0.7355399531929082,174.6,78.7,150.65, ANNUAL GENERAL MEETING,78436611525.93
MARICO,459.15,3.25,0.7078296852880323,487.6,315,462.4, INTERIM DIVIDEND - RS 4.50 PER SHARE,244399450889.88
BEL,149.75,1.0500000000000114,0.7011686143572696,160,64.2,150.8, INTERIM DIVIDEND - RS 1.40  PER SHARE,177358382024.5
NAVINFLUOR,3212.55,22.34999999999991,0.6957090162020796,3649.15,1450,3234.9, INTERIM DIVIDEND - RS  5 PER SHARE,109310538927.21
CADILAHC,628.1,4.2999999999999545,0.6846043623626739,673.7,333,632.4, ANNUAL GENERAL MEETING,160433261418.94
SRF,6441.05,43.75,0.6792370809107211,6999,3370,6484.8, INTERIM DIVIDEND - RS 19 PER SHARE,188678559834.73
DEEPAKNTR,1784.85,12.100000000000136,0.6779281172087367,1988,457.7,1796.95, ANNUAL GENERAL MEETING,130018303049.74
UBL,1299.15,8.799999999999955,0.6773659700573417,1329.65,897,1307.95, ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,144215293634.52
NAUKRI,4520.5,30.5,0.6747041256498175,5880,2335,4551, ANNUAL GENERAL MEETING,346515568160.4
LUPIN,1195.95,7.9500000000000455,0.6647435093440399,1246.8,828.4,1203.9, ANNUAL GENERAL MEETING/DIVIDEND - RS  6 PER SHARE,289327246531.38
PVR,1265.65,8.349999999999909,0.6597400545174343,1591.9,810.5,1274, RIGHTS 7:94 @ PREMIUM RS 774/-,54011712986.24
COLPAL,1679.15,10.849999999999909,0.6461602596551773,1720.75,1257.05,1690, INTERIM DIVIDEND - RS 20 PER SHARE,224544947768
PNB,39.25,0.25,0.6369426751592357,46.35,26.3,39.5, ANNUAL GENERAL MEETING,101575890330.26
IOC,112,0.7000000000000028,0.6250000000000026,113.7,71.65,112.7, INTERIM DIVIDEND - RS 3 PER SHARE,280235975710.64
BHEL,72.5,0.45000000000000284,0.6206896551724177,77.7,24.75,72.95, ANNUAL GENERAL MEETING,94437040250.96
PETRONET,234.5,1.4499999999999886,0.6183368869935986,280.75,207.25,235.95, INTERIM DIVIDEND - RS 8 PER SHARE,179625010538
IDFCFIRSTB,57.8,0.3500000000000014,0.6055363321799333,69.3,19.6,58.15, DIVIDEND RE 0.75 PER SHARE,154335345662.96
GRANULES,318.85,1.8999999999999773,0.5958914850242989,437.95,166.15,320.75, INTERIM DIVIDEND - RS 0.25  PER SHARE,44597066792.15
EICHERMOT,2633.5,15.5,0.5885703436491361,3037,1450.5,2649, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,363008007918.89
M&MFIN,155.35,0.9000000000000057,0.5793369810106248,224.3,79.94,156.25, RIGHTS 1:1 @ PREMIUM RS 48/-,91626898867.2
VOLTAS,989.3,5.7000000000000455,0.576164965126862,1132,448.1,995, ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE,230773907489.3
IGL,509.2,2.8000000000000114,0.5498821681068365,594.85,364.1,512, ANNUAL GENERAL MEETING/DIVIDEND - RS 2.80 PER SHARE,181055206920
HINDPETRO,284.25,1.5500000000000114,0.5452946350044016,291.8,162.9,285.8, DIVIDEND - RS 9.75 PER SHARE,197637281269.63
TVSMOTOR,651.45,3.5499999999999545,0.5449382147517007,666,307.2,655, INTERIM DIVIDEND - RS 1.40 PER SHARE,129768619927.76
TATACHEM,699.8,3.800000000000068,0.5430122892255027,833.95,273.45,703.6, ANNUAL GENERAL MEETING/DIVIDEND - RS 10 PER SHARE,109261146290.03
BANDHANBNK,292.1,1.5499999999999545,0.5306401917151504,430.7,202,293.65, ANNUAL GENERAL MEETING,199788034926.25
HAVELLS,996.4,5.2000000000000455,0.5218787635487802,1231.9,454.3,1001.6, ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 PER SHARE,255363225407.52
SUNTV,539.2,2.7999999999999545,0.5192878338278848,570.4,368,542, INTERIM DIVIDEND - RS 5 PER SHARE,53393539952.25
AUBANK,963.05,4.9500000000000455,0.5139920045688225,1354.4,366,968, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,208464883424.07
